"ORG_ID"|"NAVN"|"ORG_NAVN"|"POSITION"|"BESKRIVELSE"|"BIQ_PERSON_ID"
5000418|"Hans Erik Gydell"|"Inter IKEA Centre"|"Bestyrelsespost"|""|379127
5000418|"Leif John Tegner"|"Inter IKEA Centre"|"Direktionspost"|""|524874
5000418|"Werner Weber"|"Inter IKEA Centre"|"Bestyrelsespost"|""|1209592
5000418|"Kurt Jörgen Olsson"|"Inter IKEA Centre"|"Direktionspost"|""|1296180
5000418|"Hans Roland Carlo Zlobeck"|"Inter IKEA Centre"|"Direktionspost"|""|1296181
5000418|"Jean-Louis Ouellette"|"Inter IKEA Centre"|"Bestyrelsespost"|""|1913372
5000418|"Roberto Francesco Monti"|"Inter IKEA Centre"|"Bestyrelsespost"|""|1984471
5000551|"Claus Tønnesen"|"Inter Primo"|"Direktionspost adm. dir"|""|313782
5000551|"Fleming Grunnet"|"Inter Primo"|"Bestyrelsespost formand"|""|351488
5000551|"Gert Kristiansen"|"Inter Primo"|"Bestyrelsespost"|""|364988
5000551|"Jan Johan Kühl"|"Inter Primo"|"Bestyrelsespost"|""|426021
5000551|"Kenny Schelde Jensby"|"Inter Primo"|"Bestyrelsespost"|""|490617
5000551|"Mette Grunnet"|"Inter Primo"|"Bestyrelsespost"|""|550045
5000817|"Torben Agerup"|"Interbuild"|"Direktionspost"|""|1075497
5000817|"Niels Garde Toft"|"Interbuild"|"Direktionspost"|""|1178257
5000142|"Anders Karl Bruun"|"Interdan"|"Bestyrelsespost Formand"|""|246713
5000142|"Birger Niels Bøgeblad"|"Interdan"|"Bestyrelsespost"|""|279912
5000142|"Bo Gjetting"|"Interdan"|"Bestyrelsespost"|""|290124
5000142|"Lars Bo Ive"|"Interdan"|"Bestyrelsespost"|""|514471
5000142|"Michael Kjær"|"Interdan"|"Bestyrelsespost"|""|553490
5000142|"Peter Bugge Johansen"|"Interdan"|"Direktionspost"|""|609201
5000680|"Flemming Breinholt"|"Intermail"|"Direktionspost adm. dir"|""|352010
5000680|"Jan Boesen Olsen"|"Intermail"|"Bestyrelsespost"|""|423631
5000680|"Johannes Madsen-Mygdal"|"Intermail"|"Bestyrelsespost"|""|452192
5000680|"Niels Erik Nielsen"|"Intermail"|"Bestyrelsespost Formand"|""|568830
5000680|"Nelly Marie Andersen"|"Intermail"|"Bestyrelsespost"|""|1254532
5000680|"Birgitta Monica Caneman"|"Intermail"|"Bestyrelsespost"|""|1473609
5000416|"Peter Alexis Georg Jein"|"Intertrade Holding (note)"|"Direktionspost"|""|604994
5000416|"Jakob Ellehauge Sode"|"Intertrade Holding (note)"|"Direktionspost"|""|1357276
